ball,historical_weight_pct,sim_count,sim_pct,set_A_hot,set_B_cold,set_C_mixed
1,2.2688,1576122,2.2516,True,False,True
2,2.0341,1425186,2.036,False,False,False
3,1.9246,1352594,1.9323,False,False,False
4,2.0732,1452136,2.0745,False,False,False
5,2.0654,1443282,2.0618,False,False,False
6,2.1515,1500215,2.1432,False,False,False
7,2.0419,1431326,2.0448,False,False,False
8,2.2062,1537714,2.1967,True,False,False
9,2.1436,1495314,2.1362,False,False,False
10,2.2062,1536446,2.1949,False,False,False
11,2.0185,1416997,2.0243,False,False,False
12,2.261,1572336,2.2462,True,False,False
13,2.0889,1462001,2.0886,False,False,False
14,1.9246,1352222,1.9317,False,True,True
15,2.3079,1602512,2.2893,True,False,True
16,2.1123,1474484,2.1064,False,False,False
17,2.2375,1558696,2.2267,True,False,False
18,2.0654,1446348,2.0662,False,False,False
19,1.995,1400312,2.0004,False,False,False
20,2.1358,1491969,2.1314,False,False,False
21,2.0967,1466295,2.0947,False,False,False
22,2.394,1658693,2.3696,True,False,True
23,2.1515,1502505,2.1464,False,False,False
24,2.1202,1480653,2.1152,False,False,False
25,1.9168,1347369,1.9248,False,True,True
26,2.0341,1424324,2.0347,False,False,False
27,2.1436,1498883,2.1413,False,False,False
28,2.1436,1497726,2.1396,False,False,False
29,2.1045,1470514,2.1007,False,False,False
30,2.1358,1492065,2.1315,False,False,False
31,2.3471,1628742,2.3268,True,False,True
32,2.1202,1482874,2.1184,False,False,False
33,1.9324,1357958,1.9399,False,False,False
34,2.128,1486815,2.124,False,False,False
35,1.9793,1389681,1.9853,False,False,False
36,2.1749,1519151,2.1702,False,False,False
37,2.0967,1465950,2.0942,False,False,False
38,2.0028,1404408,2.0063,False,False,False
39,1.9872,1395318,1.9933,False,False,False
40,2.1202,1480314,2.1147,False,False,False
41,2.0654,1445326,2.0648,False,False,False
42,1.9715,1384866,1.9784,False,False,False
43,2.0498,1434800,2.0497,False,False,False
44,2.1515,1501657,2.1452,False,False,False
45,1.9089,1343176,1.9188,False,True,True
46,1.4082,1006967,1.4385,False,True,False
47,1.2205,879028,1.2558,False,True,False
48,1.3926,996868,1.4241,False,True,False
49,1.4395,1028862,1.4698,False,True,False
