ball,historical_weight_pct,sim_count,sim_pct,set_A_hot,set_B_cold,set_C_mixed
1,2.2688,157695,2.2528,True,False,True
2,2.0341,142890,2.0413,False,False,False
3,1.9246,135085,1.9298,False,True,True
4,2.0732,144983,2.0712,False,False,False
5,2.0654,144725,2.0675,False,False,False
6,2.1515,149921,2.1417,False,False,False
7,2.0419,142976,2.0425,False,False,False
8,2.2062,154255,2.2036,True,False,False
9,2.1436,149864,2.1409,False,False,False
10,2.2062,153319,2.1903,False,False,False
11,2.0185,141568,2.0224,False,False,False
12,2.261,156651,2.2379,True,False,False
13,2.0889,146092,2.087,False,False,False
14,1.9246,135710,1.9387,False,False,False
15,2.3079,160436,2.2919,True,False,True
16,2.1123,146973,2.0996,False,False,False
17,2.2375,155641,2.2234,True,False,False
18,2.0654,144399,2.0628,False,False,False
19,1.995,139969,1.9996,False,False,False
20,2.1358,149671,2.1382,False,False,False
21,2.0967,146485,2.0926,False,False,False
22,2.394,166104,2.3729,True,False,True
23,2.1515,150429,2.149,False,False,False
24,2.1202,147974,2.1139,False,False,False
25,1.9168,135047,1.9292,False,True,True
26,2.0341,142566,2.0367,False,False,False
27,2.1436,150296,2.1471,False,False,False
28,2.1436,149908,2.1415,False,False,False
29,2.1045,147025,2.1004,False,False,False
30,2.1358,149254,2.1322,False,False,False
31,2.3471,163359,2.3337,True,False,True
32,2.1202,148064,2.1152,False,False,False
33,1.9324,135727,1.939,False,False,False
34,2.128,148758,2.1251,False,False,False
35,1.9793,139449,1.9921,False,False,False
36,2.1749,151903,2.17,False,False,False
37,2.0967,146369,2.091,False,False,False
38,2.0028,140549,2.0078,False,False,False
39,1.9872,139111,1.9873,False,False,False
40,2.1202,148015,2.1145,False,False,False
41,2.0654,144383,2.0626,False,False,False
42,1.9715,138501,1.9786,False,False,False
43,2.0498,144209,2.0601,False,False,False
44,2.1515,149548,2.1364,False,False,False
45,1.9089,133950,1.9136,False,True,True
46,1.4082,100472,1.4353,False,True,False
47,1.2205,87289,1.247,False,True,False
48,1.3926,99743,1.4249,False,True,False
49,1.4395,102690,1.467,False,True,False
